Equipment_id,Timestamp,Engine_temp,oil_pressure,Hydraulic_pressure,Operating_hours,Vibrations,Tool_wear,Fuel_rate,Ambient_temp,Terrain_type,Failure_event
FLT48,2024-12-01,700,2.493591821,308.6,1551,42.8,0,11.79092738,298.1,"""rocky""",1
FCLA10,2024-12-01,876,2.941605932,308.7,1408,46.3,3,16.19386556,298.2,"""rocky""",0
FLT54,2024-12-01,520,2.961745579,308.5,1498,49.4,5,6.553146911,298.1,"""sandy""",1
FLT107,2024-12-01,473,3.707834743,308.6,1433,39.5,7,19.51017166,298.2,"""plain""",1
FLT60,2024-12-01,619,5.672918584,308.7,1408,40,9,15.73887141,298.2,"""mixed""",0
FLT70,2024-12-01,1221,3.989225938,308.6,1425,41.9,11,6.679230535,298.1,"""mixed""",0
FLT97,2024-12-01,716,3.568895727,308.6,1558,42.4,14,5.312266428,298.1,"""marshy""",1
FC68,2024-12-01,729,3.845165584,308.6,1527,40.2,16,10.19112589,298.1,"""plain""",1
FCTD02,2024-12-01,845,4.877239363,308.7,1667,28.6,18,3.638269304,298.3,"""sandy-wet""",0
FCGRD79,2024-12-01,824,3.741228333,309,1741,28,21,7.626214049,298.5,"""alluvial""",0
FLT85,2024-12-01,1230,3.429446187,308.9,1782,23.9,24,10.83912838,298.4,"""marshy""",0
FCTD4,2024-12-01,538,4.259996635,309.1,1423,44.3,29,7.694207979,298.6,"""plain""",1
FCJE302,2024-12-01,1187,2.592501844,309.1,1339,51.1,34,6.890093327,298.6,"""paved""",1
FCTOE3,2024-12-01,609,3.749857195,309.2,1742,30,37,10.09296246,298.6,"""paved""",1
FCBHY05,2024-12-01,606,2.272331239,309.2,2035,19.6,40,5.489462544,298.6,"""sandy_wet""",1
FLT24,2024-12-01,382,2.162553685,309.2,1542,48.4,42,7.77492339,298.6,"""sandy_wet""",1
FCHJ7,2024-12-01,560,2.827450817,309.2,1311,46.6,44,11.73054823,298.6,"""alluvial""",1
FCDRT8,2024-12-01,767,4.596903025,309.2,1410,45.6,47,7.496561998,298.7,"""alluvial""",0
FCWB32,2024-12-01,838,3.377151875,309.2,1306,54.5,50,4.159451141,298.8,"""plain""",1
FCWB56,2024-12-01,495,3.378216302,309.3,1632,32.5,55,7.376275793,298.9,"""rocky""",1
FLT445,2024-12-01,1341,4.62633279,309.3,1375,42.7,58,6.188480205,298.9,"""rocky""",0
FCLY668,2024-12-01,1249,2.461325383,309.3,1450,44.8,63,6.245944552,298.8,"""sandy""",1
FLT68,2024-12-01,699,4.369701173,309.3,1581,30.7,65,7.332602592,298.9,"""plain""",0
FCRT01,2024-12-01,436,4.254678789,309.4,1758,25.7,68,7.43832958,299,"""mixed""",1
FCGBR506,2024-12-01,885,1.887027852,309.4,1561,37.3,70,6.352865126,299,"""mixed""",1
FCBH21,2024-12-01,583,3.397936191,309.5,1861,23.3,73,6.146661107,299,"""marshy""",1
FCDS57,2024-12-01,773,3.348316697,309.5,1512,39,75,6.890316204,299.1,"""plain""",1
FLT33,2024-12-01,796,4.6085522,309.4,1811,24.6,77,5.398473736,299.1,"""sandy-wet""",0
FCLA90,2024-12-01,591,4.869288101,309.4,1439,44.2,82,7.860033003,299.1,"""alluvial""",1
FCLA12,2024-12-01,455,4.759290152,309.4,1693,30.1,84,13.97116025,299,"""marshy""",1
FCWB03,2024-12-01,1053,2.533847042,309.5,1339,48.2,86,4.212193982,299.1,"""plain""",0
FCX45,2024-12-01,646,2.157195801,309.4,1798,25.5,89,8.454512251,299,"""paved""",1
FCHL94,2024-12-01,799,4.634378309,309.4,1419,48.3,91,12.31190941,299,"""paved""",1
FGBY09,2024-12-01,1348,3.500386605,309.3,1665,32.5,93,7.286885806,298.9,"""sandy_wet""",1
FCGR04,2024-12-01,635,2.760153323,309.1,1559,34.7,95,6.629578742,298.8,"""sandy_wet""",1
FCGT7,2024-12-01,939,3.836724143,309.2,1452,48.6,98,2.713572365,298.8,"""alluvial""",0
FCBN86,2024-12-01,657,4.280497173,309.2,1581,36.7,101,2.951999184,298.9,"""alluvial""",0
FCER26,2024-12-01,708,2.947438925,309.1,1439,39.2,104,5.088072943,298.8,"""plain""",1
FCWL49,2024-12-01,1007,2.985704682,309.2,1379,50.7,106,4.77585741,298.9,"""plain""",1
FCWL122,2024-12-01,773,3.195954786,309.1,1350,52.5,111,7.745653511,298.8,"""mixed""",1
FCAS24,2024-12-01,1385,2.856924439,309.1,1362,45.4,113,5.272285313,298.8,"""marshy""",1
FC56,2024-12-01,659,3.129533562,309.1,1368,50.8,115,3.961213245,298.8,"""paved""",0
FCTR4,2024-12-01,751,4.56511134,309.1,1368,49.1,117,4.393172046,298.8,"""sandy_wet""",1
FCBN96,2024-12-01,591,2.761086478,309.2,1372,48.5,120,5.205312086,298.8,"""alluvial""",1
FCAW12,2024-12-01,1046,2.981362948,309.1,1472,47.5,125,6.288947858,298.8,"""rocky""",0
FCMK67,2024-12-01,829,3.422599762,309.1,1489,49.1,128,6.108972885,298.8,"""rocky""",0
FCGRD01,2024-12-01,961,1.264996627,309,1843,25.8,130,6.910787425,298.7,"""sandy""",1
FCGRD02,2024-12-01,696,5.115436256,309.1,1418,46.3,133,11.96971897,298.8,"""plain""",1
FCGRD03,2024-12-01,852,3.371740933,309.2,1425,53.9,135,5.809203168,298.8,"""mixed""",1
FCGRD04,2024-12-01,706,2.817028083,309.2,1412,44.1,140,5.381253176,298.9,"""mixed""",1
FCGRD05,2024-12-01,901,3.835654258,309.1,2861,4.6,143,4.591213851,298.9,"""marshy""",0
FCGRD06,2024-12-01,740,4.847549481,309.1,1383,54.9,145,6.795506013,298.9,"""plain""",0
FCGRD07,2024-12-01,654,4.430796996,309,1497,43.8,147,5.997907651,298.8,"""sandy-wet""",1
FCGRD08,2024-12-01,449,2.181478251,309,1565,35.1,152,5.416653314,298.7,"""alluvial""",0
FCGRD09,2024-12-01,779,2.022409872,309,1691,30.1,154,13.7865859,298.7,"""marshy""",0
FCGRD10,2024-12-01,1674,2.501620349,309.1,1512,40.7,156,3.624157065,298.8,"""plain""",0
FCGRD11,2024-12-01,587,2.455164971,309.1,1477,42.4,158,4.482940586,298.8,"""paved""",0
FCGRD12,2024-12-01,613,3.872402408,309.1,1513,40.3,160,5.302400377,298.8,"""paved""",1
FCGRD13,2024-12-01,691,2.381064805,309,1661,29.5,162,8.001884993,298.8,"""sandy_wet""",1
FCGRD14,2024-12-01,866,4.343461997,309.1,1378,54.4,165,8.022555595,298.8,"""sandy_wet""",1
FCGRD15,2024-12-01,697,3.813757968,309.1,1393,52.6,167,1.633776818,298.8,"""alluvial""",0
FCGRD16,2024-12-01,694,3.286426914,309,1592,38.2,169,5.944093433,298.8,"""alluvial""",1
FCGRD17,2024-12-01,850,2.375657382,309,1829,22.9,172,7.551966112,298.8,"""plain""",0
FCGRD18,2024-12-01,849,4.952401864,309,1812,25.9,174,11.56760565,298.9,"""rocky""",0
FCGRD19,2024-12-01,938,3.0738283,309.1,1523,38.6,177,7.414277238,299,"""rocky""",0
FCGRD20,2024-12-01,458,2.659770109,309.1,1394,45.1,179,5.224569371,299,"""sandy""",1
FCGRD21,2024-12-01,878,4.158025164,308.9,1679,28.7,181,2.537920871,298.9,"""plain""",1
FCGRD22,2024-12-01,513,2.482436384,308.9,1466,44.1,184,5.183278841,298.8,"""mixed""",1
FCGRD23,2024-12-01,590,3.654488533,308.9,1527,32.4,189,6.650566706,298.8,"""mixed""",0
FCGRD24,2024-12-01,893,2.817946572,309,1410,65.7,191,6.62062814,298.9,"""marshy""",1
FCGRD25,2024-12-01,748,2.753083469,309,1924,22.6,193,5.715725479,298.9,"""plain""",1
FCGRD26,2024-12-01,805,2.91303054,309.1,1452,45.5,196,17.5689917,298.9,"""sandy-wet""",1
FCGRD27,2024-12-01,563,3.216518822,309.1,1369,44.4,198,3.501781507,298.9,"""alluvial""",1
FCGRD28,2024-12-01,976,2.849036514,309.1,1592,35,200,3.180079643,299,"""marshy""",0
FCGRD29,2024-12-01,643,3.959626634,309,1601,32.3,202,5.833381401,298.9,"""plain""",1
FCGRD30,2024-12-01,864,3.265051604,308.9,1379,46.7,204,3.891605672,298.8,"""paved""",1
FCGRD31,2024-12-01,1108,3.587614093,308.9,1461,47.9,206,7.152263983,298.8,"""paved""",1
FCGRD32,2024-12-01,438,2.874117909,308.9,1455,41.3,208,6.37782256,298.8,"""sandy_wet""",1
FCGRD33,2024-12-01,678,2.061297629,308.9,1398,51.5,0,8.749673194,298.8,"""sandy_wet""",1
FCGRD34,2024-12-01,795,3.656956183,308.9,1402,37.9,2,6.081633432,298.8,"""alluvial""",1
FCGRD35,2024-12-01,664,3.978487755,308.8,1445,49.9,4,7.537095002,298.8,"""alluvial""",1
FCGRD36,2024-12-01,664,4.812661613,308.9,1450,47.5,9,5.354230609,298.9,"""plain""",0
FCGRD37,2024-12-01,644,4.327723399,308.9,1453,40.8,11,4.50773466,298.9,"""plain""",0
FCGRD38,2024-12-01,881,4.591507984,309,1469,40.1,13,4.548771534,299,"""mixed""",1
FCGRD39,2024-12-01,810,2.986358566,308.9,1422,47.6,15,6.488713782,298.9,"""marshy""",1
FCGRD40,2024-12-01,1107,2.666871048,309,1804,26.8,17,6.131345823,299,"""paved""",1
FCGRD41,2024-12-01,882,4.841943075,309,1436,43.9,20,5.604364431,299,"""sandy_wet""",0
FCVP01,2024-12-01,596,4.210487323,309,1544,31.8,25,4.601446226,299,"""alluvial""",1
FCVP02,2024-12-01,1776,3.648059966,309,1419,45.2,27,5.873873853,299,,0
FCVP03,2024-12-01,1294,4.417271295,308.9,1487,39.5,30,12.57025147,298.9,"""rocky""",1
FCVP04,2024-12-01,666,2.517943454,308.9,1753,25.8,33,8.944874593,298.9,"""rocky""",1
FCVP05,2024-12-01,442,2.133638141,308.9,1830,24.9,35,0.314028302,298.9,"""sandy""",1
FCVP06,2024-12-01,885,1.26391793,308.9,1727,27.1,37,2.518659663,298.9,"""plain""",0
FCVP07,2024-12-01,577,3.581444453,309,1450,43,40,4.80558017,299.1,"""mixed""",1
FCVP08,2024-12-01,859,2.193878565,308.9,1622,31.9,42,6.031276378,299,"""mixed""",0
FCVP09,2024-12-01,585,2.833766832,309,1351,52.2,44,6.689133779,299,"""marshy""",0
FCVP10,2024-12-01,704,2.267872796,309,1575,35.3,47,10.01271618,299,"""plain""",1
FCVP11,2024-12-01,500,2.430457286,308.9,1750,29.9,50,5.691030229,298.9,"""sandy-wet""",1
FCVP12,2024-12-01,577,4.075805489,308.8,1529,32.7,53,4.969334905,298.9,"""alluvial""",1
FCVP13,2024-12-01,829,5.460025254,308.8,1523,44.4,55,6.394026297,298.8,"""marshy""",1
FCVP14,2024-12-01,1281,4.093606867,308.9,1852,25,57,4.66227032,298.8,"""plain""",0
FCVP15,2024-12-01,762,2.423241546,308.8,1991,20.7,59,4.854528255,298.8,"""paved""",1
FCVP16,2024-12-01,1481,3.972600005,308.8,1555,40.6,61,5.701679579,298.8,"""paved""",0
FCVP17,2024-12-01,1224,2.214727486,308.8,1441,40.5,63,5.869446739,298.8,"""sandy_wet""",0
FCVP18,2024-12-01,1334,3.737746178,308.7,1450,43.4,66,5.479429349,298.8,"""sandy_wet""",1
FCVP19,2024-12-01,388,3.141249552,308.7,1591,31.1,68,3.342019626,298.8,"""alluvial""",1
FCVP20,2024-12-01,872,2.563634809,308.7,1445,48.5,70,5.460596854,298.8,"""alluvial""",1
FCVP21,2024-12-01,619,4.478510777,308.8,1497,46.8,72,13.59343394,298.8,"""plain""",1
FCVP22,2024-12-01,1661,3.518120833,308.8,1621,32.7,75,11.80290181,298.9,"""rocky""",0
FCVP23,2024-12-01,654,2.869503863,308.7,1572,34.1,80,15.34664402,298.9,"""rocky""",0
FCVP24,2024-12-01,952,2.44869462,308.6,1872,22.5,82,3.988143607,298.8,"""sandy""",1
FCVP25,2024-12-01,780,4.164540959,308.6,1499,43.5,84,7.01528845,298.7,"""plain""",0
FCVP26,2024-12-01,658,2.781480523,308.7,1498,39.5,89,4.397235113,298.8,"""mixed""",1
FCVP27,2024-12-01,697,2.449275608,308.6,1486,41.9,92,4.424065691,298.8,"""mixed""",1
FCVP28,2024-12-01,797,3.017164546,308.6,1680,29.4,95,6.770727394,298.8,"""marshy""",1
FCVP29,2024-12-01,449,2.549285704,308.6,1431,45.7,97,4.350933155,298.8,"""plain""",1
FCVP30,2024-12-01,565,1.692545422,308.7,1564,34.1,99,7.313621357,298.9,"""sandy-wet""",1
FCVP31,2024-12-01,690,5.190159252,308.6,1599,33,101,5.130944387,298.8,"""alluvial""",1
FCVP32,2024-12-01,618,2.798816735,308.6,1707,28.1,103,6.17482569,298.8,"""marshy""",1
FCVP33,2024-12-01,495,4.711893493,308.5,1467,40.7,106,4.667762436,298.7,"""plain""",1
FCVP34,2024-12-01,833,4.512386701,308.7,1433,44.7,108,5.047437283,298.9,"""paved""",0
FCVP35,2024-12-01,764,3.828116263,308.7,1558,41.2,110,4.979883117,298.9,"""paved""",0
FCVP36,2024-12-01,721,3.541263916,308.8,1310,50.7,112,5.367468376,299,"""sandy_wet""",1
FCVP37,2024-12-01,739,3.535458618,308.7,1546,43.4,114,5.915657484,298.9,"""sandy_wet""",0
FCVP38,2024-12-01,989,0.726166434,308.7,1727,29.4,116,3.189772186,298.9,"""alluvial""",0
FCVP39,2024-12-01,668,2.077727183,308.6,1560,32.2,118,6.477922753,298.9,"""alluvial""",1
FCVP40,2024-12-01,1172,3.282762281,308.6,1329,60.5,120,10.34829734,299,"""plain""",1
FCVP41,2024-12-01,657,2.468920686,308.6,1413,46.5,122,5.516645965,298.9,"""plain""",0
FCVP42,2024-12-01,717,3.32553092,308.6,1587,38.6,124,7.388977164,299,"""mixed""",1
FCVP43,2024-12-01,816,3.126299099,308.5,1559,34.3,126,11.0586131,298.9,"""marshy""",1
FCVP44,2024-12-01,879,3.039941985,308.4,1473,41.1,128,1.762921355,298.8,"""paved""",1
FCVP45,2024-12-01,711,5.396527374,308.4,1737,27.7,130,6.161167953,298.8,"""sandy_wet""",1
FCVP46,2024-12-01,819,2.750351636,308.4,1441,43.2,132,3.156032864,298.7,"""alluvial""",1
FCVP47,2024-12-01,1411,3.329394464,308.4,1430,49.6,135,5.411344521,298.7,"""rocky""",1
FCVP48,2024-12-01,970,5.173883251,308.4,1369,53,138,0.435527221,298.8,"""rocky""",1
FCVP49,2024-12-01,990,4.0381252,308.5,1711,28.5,140,5.973015356,298.8,"""sandy""",0
FCVP50,2024-12-01,1378,2.80844805,308.5,1420,45.7,143,6.069563914,298.7,"""plain""",0
FCVP51,2024-12-01,929,2.471971508,308.6,1297,55.3,148,6.597364192,298.7,"""mixed""",0
FCVP52,2024-12-01,428,4.015312266,308.6,1449,49.4,150,4.387232694,298.8,"""mixed""",0
FCVP53,2024-12-01,620,1.975893666,308.6,1268,55.8,155,12.93603086,298.8,"""marshy""",0
FCVP54,2024-12-01,925,3.627445078,308.6,1511,36.1,157,4.513433692,298.8,"""plain""",0
FCVP55,2024-12-01,778,2.731842201,308.5,1544,35.2,159,4.518810363,298.7,"""sandy-wet""",1
FCVP56,2024-12-01,670,2.492499635,308.4,1778,28.2,161,7.122014737,298.6,"""alluvial""",1
FCVP57,2024-12-01,1620,1.536989094,308.4,1407,50.5,164,6.398304277,298.6,"""marshy""",0
FCVP58,2024-12-01,689,2.441506273,308.4,1391,42.4,169,9.308475785,298.6,"""plain""",0
FCVP59,2024-12-01,1321,2.893330432,308.4,1513,33.6,172,5.216484442,298.5,"""paved""",0
FCVP60,2024-12-01,638,1.940204885,308.4,1612,36.1,174,1.725983559,298.5,"""paved""",1
FCVP61,2024-12-01,483,2.170018205,308.4,1515,40.1,179,5.710811204,298.4,"""sandy_wet""",0
